,gs2046,gs2081
66,24.8538961039,38.091038961
67,23.1107492507,35.8907492507
68,22.3225974026,34.8111688312
69,24.8486713287,37.9058141858
70,24.0957442557,38.2286013986
71,23.6372227772,37.5729370629
72,23.8062337662,37.7848051948
73,24.2308391608,37.3022677323
74,24.2872827173,37.5501398601
75,21.3627272727,33.8698701299
76,23.9474925075,37.2089210789
77,22.6314985015,34.9300699301
78,23.8876923077,37.761978022
79,24.1326573427,37.6940859141
80,22.4423076923,34.7294505495
81,24.2982017982,38.0910589411
82,23.7774125874,37.3102697303
83,23.8033366633,37.7619080919
84,22.4101998002,34.7816283716
85,22.7507292707,34.4121578422
86,23.4904495504,37.2847352647
87,24.3837262737,38.3037262737
88,24.1401498501,37.9287212787
89,24.3973426573,38.2387712288
90,21.915974026,33.9716883117
91,24.206983017,37.3098401598
92,23.8365034965,37.6736463536
93,22.2009490509,34.0623776224
94,22.3086413586,33.9557842158
95,22.6004395604,34.7661538462
96,24.56996004,38.40996004
97,22.558971029,34.8046853147
98,23.6326773227,37.1941058941
99,22.1285414585,33.94997003
100,22.0718081918,33.8860939061
101,21.9327572428,33.9641858142
102,23.8105394605,37.6748251748
103,21.8554845155,33.1269130869
104,23.4051548452,34.6951548452
105,23.7504795205,37.7576223776
106,23.8097402597,37.5168831169
107,22.7410789211,33.5567932068
108,21.3689210789,32.8174925075
109,21.8446653347,33.1932367632
110,23.4914685315,34.6586113886
111,22.3600999001,33.8400999001
112,23.4172827173,36.7487112887
113,23.4914685315,34.6586113886
114,22.5694705295,35.0137562438
115,22.6882117882,33.6124975025
116,23.266033966,35.9146053946
117,23.4914685315,34.6586113886
118,21.6226973027,32.9212687313
119,23.6953546454,37.0124975025
120,23.4914685315,34.6586113886
121,23.4931568432,36.9388711289
122,23.4250549451,36.4579120879
123,23.0121178821,34.3706893107
124,22.2952547453,34.4581118881
125,23.4914685315,34.6586113886
126,22.6476123876,34.3776123876
127,22.6864535465,35.005024975
128,23.4470829171,36.4727972028
129,23.4914685315,34.6586113886
130,22.4943456543,35.1329170829
131,23.4914685315,34.6586113886
132,23.5434165834,34.791988012
133,23.7366633367,35.0023776224
134,22.7092307692,33.9649450549
135,22.5109190809,34.3894905095
136,22.5067332667,34.5838761239
137,22.550979021,35.3266933067
138,23.7964435564,34.8593006993
139,22.5508491508,34.3194205794
140,22.275984016,34.185984016
141,23.2523176823,34.2023176823
142,23.0011488511,34.8411488511
143,22.8631368631,34.6602797203
144,22.9024575425,34.6753146853
145,22.7113186813,34.1227472527
146,23.3850949051,34.327952048
147,23.1995304695,34.5152447552
148,22.442017982,33.8434465534
149,23.4902097902,34.7716383616
150,22.7760939061,34.4003796204
151,23.6703596404,35.0075024975
152,23.1901798202,34.753036963
153,23.2179420579,34.1536563437
154,23.5961538462,34.8275824176
155,22.4692007992,33.9577722278
156,22.4571628372,33.9743056943
157,22.3093806194,34.1108091908
158,22.7367032967,34.2138461538
159,22.3455444555,34.066973027
160,23.3584815185,34.9627672328
161,21.8539060939,33.6624775225
162,21.9908991009,34.0323276723
163,22.7276023976,34.2976023976
